,human,move_human_own(-3),dead_bird(-7),Mosquito(-7),Sentinel_Chickens(-4)
2011_week9,0,0,0,0,0
2011_week10,0,0,0,1,0
2011_week11,0,0,1,0,0
2011_week12,0,0,0,0,0
2011_week13,0,0,0,0,0
2011_week14,0,0,0,0,0
2011_week15,0,0,0,0,0
2011_week16,0,0,0,0,0
2011_week17,0,0,0,0,0
2011_week18,0,0,0,0,0
2011_week19,0,0,1,0,0
2011_week20,0,0,4,1,0
2011_week21,0,0,0,1,0
2011_week22,0,0,1,1,0
2011_week23,1,0,1,0,0
2011_week24,0,0,3,1,0
2011_week25,6,0,1,1,0
2011_week26,3,1,11,10,3
2011_week27,2,0,6,15,3
2011_week28,6,6,8,15,13
2011_week29,9,3,7,43,15
2011_week30,6,2,25,58,13
2011_week31,15,6,19,125,8
2011_week32,19,9,30,122,24
2011_week33,20,6,34,215,20
2011_week34,17,15,23,199,36
2011_week35,9,19,54,220,32
2011_week36,9,20,73,233,50
2011_week37,7,17,56,218,35
2011_week38,11,9,40,172,44
2011_week39,4,9,65,155,15
2011_week40,6,7,63,90,0
2011_week41,4,11,61,78,40
2011_week42,1,4,30,28,18
2012_week9,0,0,0,0,0
2012_week10,0,0,0,0,0
2012_week11,0,0,0,0,0
2012_week12,0,0,0,0,0
2012_week13,0,0,0,0,0
2012_week14,0,0,0,1,0
2012_week15,0,0,1,0,0
2012_week16,0,0,0,0,0
2012_week17,0,0,0,0,0
2012_week18,1,0,1,0,0
2012_week19,0,0,0,0,0
2012_week20,0,0,7,0,0
2012_week21,0,1,4,7,1
2012_week22,5,0,17,22,1
2012_week23,1,0,14,61,0
2012_week24,4,0,51,33,3
2012_week25,7,5,71,98,0
2012_week26,8,1,54,60,14
2012_week27,15,4,92,88,11
2012_week28,15,7,38,78,18
2012_week29,19,8,79,145,27
2012_week30,39,15,61,168,56
2012_week31,33,15,74,160,37
2012_week32,35,19,81,215,49
2012_week33,49,39,69,211,59
2012_week34,35,33,138,249,45
2012_week35,35,35,99,294,68
2012_week36,38,49,132,190,31
2012_week37,38,35,119,202,22
2012_week38,22,35,85,135,21
2012_week39,18,38,86,124,14
2012_week40,17,38,80,91,15
2012_week41,12,22,55,72,15
2012_week42,7,18,58,53,9
2013_week9,0,0,0,0,0
2013_week10,0,0,0,0,0
2013_week11,0,0,0,0,0
2013_week12,0,0,0,0,0
2013_week13,1,0,1,0,0
2013_week14,0,0,0,0,0
2013_week15,0,0,0,0,0
2013_week16,0,1,1,0,0
2013_week17,0,0,0,1,0
2013_week18,0,0,0,1,1
2013_week19,0,0,0,7,0
2013_week20,0,0,2,6,0
2013_week21,3,0,6,6,0
2013_week22,10,0,7,18,6
2013_week23,4,0,20,31,5
2013_week24,19,3,29,54,15
2013_week25,22,10,40,113,49
2013_week26,28,4,49,159,22
2013_week27,14,19,73,159,62
2013_week28,16,22,95,206,14
2013_week29,33,28,129,246,55
2013_week30,26,14,129,164,33
2013_week31,30,16,124,178,54
2013_week32,31,33,126,213,14
2013_week33,38,26,72,292,44
2013_week34,22,30,79,231,30
2013_week35,22,31,36,88,21
2013_week36,20,38,43,141,28
2013_week37,10,22,34,66,10
2013_week38,8,22,39,60,15
2013_week39,7,20,24,40,0
2013_week40,4,10,30,13,2
2014_week9,0,0,2,0,0
2014_week10,0,0,2,0,0
2014_week11,0,0,1,0,0
2014_week12,0,0,1,0,0
2014_week13,0,0,1,0,0
2014_week14,0,0,2,0,0
2014_week15,0,0,2,0,0
2014_week16,0,0,0,2,0
2014_week17,0,0,1,2,0
2014_week18,1,0,0,1,0
2014_week19,1,0,0,0,0
2014_week20,1,0,5,2,0
2014_week21,6,1,15,11,0
2014_week22,2,1,19,5,0
2014_week23,4,1,22,14,0
2014_week24,4,6,70,46,2
2014_week25,17,2,52,40,6
2014_week26,21,4,128,111,5
2014_week27,36,4,68,106,25
2014_week28,36,17,145,180,17
2014_week29,52,21,171,255,50
2014_week30,57,36,164,205,23
2014_week31,73,36,142,288,55
2014_week32,64,52,178,352,58
2014_week33,53,57,218,420,32
2014_week34,60,73,160,268,28
2014_week35,74,64,163,177,26
2014_week36,46,53,94,175,33
2014_week37,46,60,152,193,21
2014_week38,51,74,100,99,12
2014_week39,28,46,77,95,18
2014_week40,19,46,97,92,11
2014_week41,17,51,59,71,10
2014_week42,20,28,28,58,3
2015_week9,0,0,1,0,0
2015_week10,0,0,0,0,0
2015_week11,0,0,3,1,0
2015_week12,0,0,0,0,0
2015_week13,0,0,1,0,0
2015_week14,0,0,2,1,0
2015_week15,0,0,1,1,0
2015_week16,0,0,1,2,0
2015_week17,0,0,0,1,0
2015_week18,0,0,9,11,0
2015_week19,0,0,21,8,1
2015_week20,0,0,10,15,0
2015_week21,1,0,4,26,2
2015_week22,7,0,8,18,0
2015_week23,10,0,16,36,0
2015_week24,18,1,24,60,2
2015_week25,21,7,11,60,38
2015_week26,26,10,40,108,2
2015_week27,25,18,63,149,45
2015_week28,15,21,32,259,14
2015_week29,34,26,54,302,46
2015_week30,44,25,61,275,24
2015_week31,44,15,56,244,19
2015_week32,66,34,85,191,42
2015_week33,55,44,78,305,34
2015_week34,55,44,104,230,45
2015_week35,48,66,77,141,16
2015_week36,43,55,93,224,14
2015_week37,58,55,112,100,18
2015_week38,24,48,47,87,17
2015_week39,47,43,78,52,6
2015_week40,40,58,78,31,38
2015_week41,26,24,22,34,7
2016_week9,0,0,1,0,0
2016_week10,0,0,0,0,0
2016_week11,0,0,2,0,0
2016_week12,0,0,0,0,0
2016_week13,0,0,1,1,0
2016_week14,0,0,0,0,0
2016_week15,0,0,1,0,0
2016_week16,0,0,2,1,0
2016_week17,0,0,5,5,0
2016_week18,0,0,4,12,0
2016_week19,0,0,28,8,2
2016_week20,0,0,21,48,2
2016_week21,3,0,44,51,3
2016_week22,7,0,73,59,5
2016_week23,12,0,86,79,7
2016_week24,24,3,95,169,11
2016_week25,32,7,63,174,43
2016_week26,45,12,112,298,11
2016_week27,32,24,109,254,51
2016_week28,44,32,59,328,26
2016_week29,35,45,119,354,52
2016_week30,42,32,76,380,18
2016_week31,34,44,97,341,33
2016_week32,17,35,74,218,15
2016_week33,20,42,56,159,16
2016_week34,23,34,49,166,6
2016_week35,10,17,49,75,13
2016_week36,8,20,41,69,9
2016_week37,8,23,12,111,5
2016_week38,10,10,16,59,7
2016_week39,5,8,18,19,0
2016_week40,6,8,7,8,6
2017_week9,0,0,0,0,0
2017_week10,0,0,0,0,0
2017_week11,1,0,0,0,0
2017_week12,0,0,0,2,0
2017_week13,1,0,0,3,0
2017_week14,0,1,1,3,0
2017_week15,1,0,4,4,0
2017_week16,0,1,3,17,0
2017_week17,2,0,12,59,1
2017_week18,5,1,2,69,1
2017_week19,11,0,2,145,15
2017_week20,19,2,12,110,4
2017_week21,18,5,12,78,13
2017_week22,28,11,20,191,6
2017_week23,21,19,18,214,18
2017_week24,35,18,26,230,34
2017_week25,31,28,26,345,38
2017_week26,37,21,30,344,25
2017_week27,47,35,32,235,34
2017_week28,57,31,36,235,15
2017_week29,46,37,25,261,31
2017_week30,42,47,34,283,29
2017_week31,24,57,38,153,18
2017_week32,27,46,59,135,5
2017_week33,11,42,33,66,8
2017_week34,24,24,21,52,2
2017_week35,13,27,14,57,7
2018_week9,0,0,0,0,0
2018_week10,0,0,0,0,0
2018_week11,4,0,0,1,0
2018_week12,5,0,0,0,0
2018_week13,0,0,0,0,0
2018_week14,0,4,1,0,0
2018_week15,1,5,2,1,0
2018_week16,0,0,2,1,0
